Bot,Canal,Numero_WhatsApp,Ano_Mes,Primeira_Data,Ultima_Data,UsuariosAtivos,UsuariosEngajados,Mensagens_Enviadas_Bot,Mensagens_Enviadas_Usuarios,Mensagens_Enviadas_Total,Com_Testers
bot81,WhatsApp,5511965909235,2021-02,2021-02-19,2021-02-26,3,3,87,51,138,TRUE
bot81,WhatsApp,5511965909235,2021-02,2021-02-19,2021-02-26,3,3,87,51,138,FALSE
bot81,BLiP Chat,,2021-03,2021-03-29,2021-03-29,1,1,0,1,1,TRUE
bot81,WhatsApp,5511965909235,2021-03,2021-03-01,2021-03-31,9,9,607,301,908,TRUE
bot81,WhatsApp,5511965909235,2021-03,2021-03-01,2021-03-31,9,9,607,301,908,FALSE
bot81,WhatsApp,5511965909235,2021-04,2021-04-01,2021-04-30,56,56,1891,788,2679,TRUE
bot81,WhatsApp,5511965909235,2021-04,2021-04-01,2021-04-30,56,56,1891,788,2679,FALSE
bot81,WhatsApp,5511965909235,2021-05,2021-05-03,2021-05-31,7,7,217,124,341,TRUE
bot81,WhatsApp,5511965909235,2021-05,2021-05-03,2021-05-31,7,7,217,124,341,FALSE
bot81,WhatsApp,5511965909235,2021-06,2021-06-06,2021-06-30,10,10,229,108,337,TRUE
bot81,WhatsApp,5511965909235,2021-06,2021-06-06,2021-06-30,10,10,229,108,337,FALSE
bot81,WhatsApp,5511965909235,2021-07,2021-07-01,2021-07-31,24,24,524,189,713,TRUE
bot81,WhatsApp,5511965909235,2021-07,2021-07-01,2021-07-31,24,24,524,189,713,FALSE
bot81,WhatsApp,5511965909235,2021-08,2021-08-01,2021-08-31,23,23,493,198,691,TRUE
bot81,WhatsApp,5511965909235,2021-08,2021-08-01,2021-08-31,23,23,493,198,691,FALSE
bot81,WhatsApp,5511965909235,2021-09,2021-09-01,2021-09-30,10,10,328,156,484,TRUE
bot81,WhatsApp,5511965909235,2021-09,2021-09-01,2021-09-30,10,10,328,156,484,FALSE
bot81,WhatsApp,5511965909235,2021-10,2021-10-01,2021-10-30,73,72,5003,2729,7732,TRUE
bot81,WhatsApp,5511965909235,2021-10,2021-10-01,2021-10-30,73,72,5003,2729,7732,FALSE
bot81,WhatsApp,5511965909235,2021-11,2021-11-01,2021-11-30,89,89,3129,1463,4592,TRUE
bot81,WhatsApp,5511965909235,2021-11,2021-11-01,2021-11-30,89,89,3129,1463,4592,FALSE
bot81,WhatsApp,5511965909235,2021-12,2021-12-02,2021-12-23,10,10,336,162,498,TRUE
bot81,WhatsApp,5511965909235,2021-12,2021-12-02,2021-12-23,10,10,336,162,498,FALSE
,,,,,,626,,,,,
